fixture_id	Memory Location	Memory Purpose	Purpose Code
T1-U-055	construction-updates/temporary-parking/11-parking-needs	User Model	UM
T1-U-064	construction-updates/temporary-parking/om-delivery-crews	Other Model	OM
T1-U-020	construction-updates/shop-updates/01-atm-closed	Knowledge Base	KB
T1-U-088	construction-updates/shop-updates/01-store-closed	Knowledge Base	KB
T1-U-021	construction-updates/shop-updates/02-atm-alternative	Procedural Policy	PP
T1-U-089	construction-updates/shop-updates/02-store-alternative	Procedural Policy	PP
T1-U-090	construction-updates/shop-updates/02-after-hours-limit	Procedural Policy	PP
T1-U-022	construction-updates/shop-updates/03-main-store	Knowledge Base	KB
T1-U-092	construction-updates/shop-updates/03-engineering-hours	Knowledge Base	KB
T1-U-023	construction-updates/shop-updates/04-cafe	Knowledge Base	KB
T1-U-025	construction-updates/shop-updates/06	Procedural Policy	PP
T1-U-026	construction-updates/shop-updates/07	User Model	UM
T1-U-056	construction-updates/shop-updates/08-answer-amenities	Self Model	SM
T1-U-057	construction-updates/shop-updates/09-west-atm-route	World Model	WM
T1-U-065	construction-updates/shop-updates/om-store-concessionaire-demand	Other Model	OM
T1-U-027	construction-updates/facility-updates/01	Knowledge Base	KB
T1-U-028	construction-updates/facility-updates/02	Knowledge Base	KB
T1-U-029	construction-updates/facility-updates/03-in-person-closed	Knowledge Base	KB
T1-U-099	construction-updates/facility-updates/03-portal-replacement	Knowledge Base	KB
T1-U-030	construction-updates/facility-updates/04-floor-1	Knowledge Base	KB
T1-U-100	construction-updates/facility-updates/04-floor-2	Knowledge Base	KB
T1-U-101	construction-updates/facility-updates/04-floor-3	Knowledge Base	KB
T1-U-031	construction-updates/facility-updates/05	World Model	WM
T1-U-032	construction-updates/facility-updates/06-eligible-users	Procedural Policy	PP
T1-U-102	construction-updates/facility-updates/06-visitors	Procedural Policy	PP
T1-U-033	construction-updates/facility-updates/07	Procedural Policy	PP
T1-U-104	construction-updates/facility-updates/08-consultation-closed	Knowledge Base	KB
T1-U-035	construction-updates/facility-updates/09	User Model	UM
T1-U-037	construction-updates/facility-updates/11	Knowledge Base	KB
T1-U-038	construction-updates/facility-updates/12	Knowledge Base	KB
T1-U-106	construction-updates/facility-updates/14-no-private-scope	Self Model	SM
T1-U-066	construction-updates/facility-updates/om-service-contractors	Other Model	OM
T1-U-040	construction-updates/route-changes/01	Knowledge Base	KB
T1-U-041	construction-updates/route-changes/02	Knowledge Base	KB
T1-U-042	construction-updates/route-changes/03	Knowledge Base	KB
T1-U-043	construction-updates/route-changes/04	User Model	UM
T1-U-045	construction-updates/route-changes/06	Procedural Policy	PP
T1-U-047	construction-updates/route-changes/08	World Model	WM
T1-U-059	construction-updates/route-changes/09	Knowledge Base	KB
T1-U-060	construction-updates/route-changes/10-guide-routes	Self Model	SM
T1-U-067	construction-updates/route-changes/om-mobility-support-companion	Other Model	OM
T1-W-001	campus-wiki/building-access/01	Knowledge Base	KB
T1-W-002	campus-wiki/building-access/02-front-floor	Knowledge Base	KB
T1-W-100	campus-wiki/building-access/02-rear-elevation	Knowledge Base	KB
T1-W-003	campus-wiki/building-access/03	Knowledge Base	KB
T1-W-004	campus-wiki/building-access/04	Knowledge Base	KB
T1-W-136	campus-wiki/building-access/04-recess	Knowledge Base	KB
T1-W-005	campus-wiki/building-access/05	User Model	UM
T1-W-006	campus-wiki/building-access/06-explain-hours-eligibility	Self Model	SM
T1-W-137	campus-wiki/building-access/06-explain-eligibility	Self Model	SM
T1-W-101	campus-wiki/building-access/06-no-credential-issuance	Self Model	SM
T1-W-102	campus-wiki/building-access/06-no-unlocking	Self Model	SM
T1-W-007	campus-wiki/building-access/07	Procedural Policy	PP
T1-W-008	campus-wiki/building-access/08-verified-contact	Procedural Policy	PP
T1-W-103	campus-wiki/building-access/08-no-unverified-number	Procedural Policy	PP
T1-W-009	campus-wiki/building-access/09	Knowledge Base	KB
T1-W-010	campus-wiki/building-access/10	Knowledge Base	KB
T1-W-130	campus-wiki/building-access/12	Other Model	OM
T1-W-054	campus-wiki/building-access/13-term-opening	Knowledge Base	KB
T1-W-055	campus-wiki/building-access/14-recess-opening	Knowledge Base	KB
T1-W-056	campus-wiki/building-access/15-weekend-hours	Knowledge Base	KB
T1-W-057	campus-wiki/building-access/16-holiday-hours	World Model	WM
T1-W-058	campus-wiki/building-access/17-first-time-visitors	User Model	UM
T1-W-059	campus-wiki/building-access/18-ramp-demand	User Model	UM
T1-W-060	campus-wiki/building-access/19-staff-eligibility	Knowledge Base	KB
T1-W-061	campus-wiki/building-access/20-service-entrance	Knowledge Base	KB
T1-W-062	campus-wiki/building-access/21-family-visitors	User Model	UM
T1-W-063	campus-wiki/building-access/22-rideshare-front-entrance-expectation	Other Model	OM
T1-W-064	campus-wiki/building-access/23-explain-door-roles	Self Model	SM
T1-W-065	campus-wiki/building-access/24-no-live-lock-state	Self Model	SM
T1-W-066	campus-wiki/building-access/25-follow-site-signage	Procedural Policy	PP
T1-W-067	campus-wiki/building-access/26-no-tailgating	Procedural Policy	PP
T1-W-068	campus-wiki/building-access/27-emergency-exits	Knowledge Base	KB
T1-W-069	campus-wiki/building-access/28-automatic-door-hours	Knowledge Base	KB
T1-W-070	campus-wiki/building-access/29-service-animals	Knowledge Base	KB
T1-W-071	campus-wiki/building-access/30-no-indoor-riding	Procedural Policy	PP
T1-W-072	campus-wiki/building-access/31-stroller-access	Knowledge Base	KB
T1-W-073	campus-wiki/building-access/32-tour-groups	User Model	UM
T1-W-074	campus-wiki/building-access/33-contractor-check-in	Other Model	OM
T1-W-075	campus-wiki/building-access/34-return-visitor-pass	Knowledge Base	KB
T1-W-076	campus-wiki/building-access/35-lost-credential	Procedural Policy	PP
T1-W-077	campus-wiki/building-access/36-accessible-automatic-door	Knowledge Base	KB
T1-W-078	campus-wiki/building-access/37-vestibule	Knowledge Base	KB
T1-W-079	campus-wiki/building-access/38-night-access-policy	Knowledge Base	KB
T1-W-080	campus-wiki/building-access/39-affiliation-status	Knowledge Base	KB
T1-W-081	campus-wiki/building-access/40-mobile-support-varies	World Model	WM
T1-W-082	campus-wiki/building-access/41-event-entrance	Knowledge Base	KB
T1-W-083	campus-wiki/building-access/42-event-entrance-hours	World Model	WM
T1-W-084	campus-wiki/building-access/43-group-arrival-notice	User Model	UM
T1-W-085	campus-wiki/building-access/44-obstruction-reporting	Procedural Policy	PP
T1-W-086	campus-wiki/building-access/45-onsite-access-help	Procedural Policy	PP
T1-W-011	campus-wiki/event-relocations/01	Knowledge Base	KB
T1-W-138	campus-wiki/event-relocations/01-campus-meetings	Knowledge Base	KB
T1-W-012	campus-wiki/event-relocations/02-recess-viewing	Knowledge Base	KB
T1-W-104	campus-wiki/event-relocations/02-recess-events	Knowledge Base	KB
T1-W-013	campus-wiki/event-relocations/03-separate-services	Knowledge Base	KB
T1-W-105	campus-wiki/event-relocations/03-separate-entrance	Knowledge Base	KB
T1-W-014	campus-wiki/event-relocations/04-confirmed-spaces	Procedural Policy	PP
T1-W-106	campus-wiki/event-relocations/04-no-unchecked-booking	Procedural Policy	PP
T1-W-015	campus-wiki/event-relocations/05	User Model	UM
T1-W-016	campus-wiki/event-relocations/06-compare-space-hours	Self Model	SM
T1-W-139	campus-wiki/event-relocations/06-compare-hours	Self Model	SM
T1-W-107	campus-wiki/event-relocations/06-no-reservations	Self Model	SM
T1-W-108	campus-wiki/event-relocations/06-no-seat-guarantee	Self Model	SM
T1-W-017	campus-wiki/event-relocations/07-class-use	Knowledge Base	KB
T1-W-140	campus-wiki/event-relocations/07-floor-6-class-use	Knowledge Base	KB
T1-W-109	campus-wiki/event-relocations/07-check-class-schedule	Procedural Policy	PP
T1-W-131	campus-wiki/event-relocations/08	Other Model	OM
T1-W-087	campus-wiki/event-relocations/09-public-room-directory	Knowledge Base	KB
T1-W-088	campus-wiki/event-relocations/10-booking-portal	Knowledge Base	KB
T1-W-089	campus-wiki/event-relocations/11-check-capacity	Knowledge Base	KB
T1-W-090	campus-wiki/event-relocations/12-accessible-seating	Knowledge Base	KB
T1-W-091	campus-wiki/event-relocations/13-campus-sponsor	Knowledge Base	KB
T1-W-092	campus-wiki/event-relocations/14-student-group-account	Knowledge Base	KB
T1-W-093	campus-wiki/event-relocations/15-confirmation-receipt	Knowledge Base	KB
T1-W-094	campus-wiki/event-relocations/16-recurring-events	Knowledge Base	KB
T1-W-095	campus-wiki/event-relocations/17-setup-teardown	Knowledge Base	KB
T1-W-096	campus-wiki/event-relocations/18-reset-furniture	Procedural Policy	PP
T1-W-097	campus-wiki/event-relocations/19-check-food-policy	Procedural Policy	PP
T1-W-098	campus-wiki/event-relocations/20-av-support-request	Knowledge Base	KB
T1-W-099	campus-wiki/event-relocations/21-signage-safety	Procedural Policy	PP
T1-W-167	campus-wiki/event-relocations/22-compare-capacity	Self Model	SM
T1-W-168	campus-wiki/event-relocations/23-no-participant-list	Self Model	SM
T1-W-169	campus-wiki/event-relocations/24-no-approval-guarantee	Self Model	SM
T1-W-170	campus-wiki/event-relocations/25-check-calendar-notices	Procedural Policy	PP
T1-W-171	campus-wiki/event-relocations/26-no-tentative-confirmation	Procedural Policy	PP
T1-W-172	campus-wiki/event-relocations/27-visitor-hours-question	User Model	UM
T1-W-173	campus-wiki/event-relocations/28-organizer-loading-needs	User Model	UM
T1-W-174	campus-wiki/event-relocations/29-access-request	User Model	UM
T1-W-175	campus-wiki/event-relocations/30-relative-capacity	Knowledge Base	KB
T1-W-176	campus-wiki/event-relocations/31-gallery-hours	Knowledge Base	KB
T1-W-177	campus-wiki/event-relocations/32-flexible-meeting-area	Knowledge Base	KB
T1-W-178	campus-wiki/event-relocations/33-auditorium-desk	Knowledge Base	KB
T1-W-179	campus-wiki/event-relocations/34-vendor-coordination	Other Model	OM
T1-W-180	campus-wiki/event-relocations/35-public-cancellation	World Model	WM
T1-W-181	campus-wiki/event-relocations/36-holiday-availability	World Model	WM
T1-W-182	campus-wiki/event-relocations/37-emergency-priority	Knowledge Base	KB
T1-W-183	campus-wiki/event-relocations/38-confirm-building-floor	Procedural Policy	PP
T1-W-184	campus-wiki/event-relocations/39-event-lost-property	Knowledge Base	KB
T1-W-185	campus-wiki/event-relocations/40-event-photography	Other Model	OM
T1-W-186	campus-wiki/event-relocations/41-separate-public-private	Procedural Policy	PP
T1-W-018	campus-wiki/temporary-parking/01	Knowledge Base	KB
T1-W-019	campus-wiki/temporary-parking/02	Knowledge Base	KB
T1-W-020	campus-wiki/temporary-parking/03	Knowledge Base	KB
T1-W-021	campus-wiki/temporary-parking/04	Knowledge Base	KB
T1-W-022	campus-wiki/temporary-parking/05-separate-access-road	Knowledge Base	KB
T1-W-110	campus-wiki/temporary-parking/05-outside-work-zone	Knowledge Base	KB
T1-W-023	campus-wiki/temporary-parking/06	Knowledge Base	KB
T1-W-024	campus-wiki/temporary-parking/07-no-campuswide-generalization	Procedural Policy	PP
T1-W-111	campus-wiki/temporary-parking/07-check-alternatives	Procedural Policy	PP
T1-W-025	campus-wiki/temporary-parking/08	User Model	UM
T1-W-141	campus-wiki/temporary-parking/08-visitor-accessible-dropoff	User Model	UM
T1-W-142	campus-wiki/temporary-parking/08-visitor-loading	User Model	UM
T1-W-143	campus-wiki/temporary-parking/08-staff-parking	User Model	UM
T1-W-144	campus-wiki/temporary-parking/08-staff-accessible-dropoff	User Model	UM
T1-W-145	campus-wiki/temporary-parking/08-staff-loading	User Model	UM
T1-W-026	campus-wiki/temporary-parking/09-explain-status-connections	Self Model	SM
T1-W-146	campus-wiki/temporary-parking/09-explain-connections	Self Model	SM
T1-W-112	campus-wiki/temporary-parking/09-no-live-vacancy	Self Model	SM
T1-W-113	campus-wiki/temporary-parking/09-no-release-guarantee	Self Model	SM
T1-W-132	campus-wiki/temporary-parking/10	Other Model	OM
T1-W-187	campus-wiki/temporary-parking/11-c-lot-visitors	Knowledge Base	KB
T1-W-188	campus-wiki/temporary-parking/12-visitor-registration	Knowledge Base	KB
T1-W-189	campus-wiki/temporary-parking/13-accessible-permit	Knowledge Base	KB
T1-W-190	campus-wiki/temporary-parking/14-c-accessible-location	Knowledge Base	KB
T1-W-191	campus-wiki/temporary-parking/15-dropoff-not-parking	Knowledge Base	KB
T1-W-192	campus-wiki/temporary-parking/16-loading-time-limit	Knowledge Base	KB
T1-W-193	campus-wiki/temporary-parking/17-motorcycle-area	Knowledge Base	KB
T1-W-194	campus-wiki/temporary-parking/18-bicycle-racks	Knowledge Base	KB
T1-W-195	campus-wiki/temporary-parking/19-ev-charging	Knowledge Base	KB
T1-W-196	campus-wiki/temporary-parking/20-ev-use	Knowledge Base	KB
T1-W-197	campus-wiki/temporary-parking/21-posted-fees	Knowledge Base	KB
T1-W-198	campus-wiki/temporary-parking/22-no-unlisted-discount	Self Model	SM
T1-W-199	campus-wiki/temporary-parking/23-holiday-hours	World Model	WM
T1-W-200	campus-wiki/temporary-parking/24-winter-control	World Model	WM
T1-W-201	campus-wiki/temporary-parking/25-event-demand	World Model	WM
T1-W-202	campus-wiki/temporary-parking/26-accessible-route-demand	User Model	UM
T1-W-203	campus-wiki/temporary-parking/27-lot-confusion	User Model	UM
T1-W-204	campus-wiki/temporary-parking/28-no-live-closure-sign-state	Self Model	SM
T1-W-205	campus-wiki/temporary-parking/29-west-gate-stop	Knowledge Base	KB
T1-W-206	campus-wiki/temporary-parking/30-campus-shuttle-stop	Knowledge Base	KB
T1-W-207	campus-wiki/temporary-parking/31-shuttle-calendar	World Model	WM
T1-W-208	campus-wiki/temporary-parking/32-explain-entrances	Self Model	SM
T1-W-209	campus-wiki/temporary-parking/33-no-registration	Self Model	SM
T1-W-210	campus-wiki/temporary-parking/34-no-fee-waiver	Self Model	SM
T1-W-211	campus-wiki/temporary-parking/35-check-weather-notice	Procedural Policy	PP
T1-W-212	campus-wiki/temporary-parking/36-no-fullness-generalization	Procedural Policy	PP
T1-W-213	campus-wiki/temporary-parking/37-permit-no-space-guarantee	Knowledge Base	KB
T1-W-214	campus-wiki/temporary-parking/38-accessible-dropoff	Knowledge Base	KB
T1-W-215	campus-wiki/temporary-parking/39-shared-vehicle-spaces	Knowledge Base	KB
T1-W-216	campus-wiki/temporary-parking/40-report-obstruction	Procedural Policy	PP
T1-W-027	campus-wiki/shop-updates/01	Knowledge Base	KB
T1-W-028	campus-wiki/shop-updates/02	Knowledge Base	KB
T1-W-029	campus-wiki/shop-updates/03	Knowledge Base	KB
T1-W-147	campus-wiki/shop-updates/03-dining	Knowledge Base	KB
T1-W-030	campus-wiki/shop-updates/04-location	Knowledge Base	KB
T1-W-114	campus-wiki/shop-updates/04-staff-only	Knowledge Base	KB
T1-W-031	campus-wiki/shop-updates/05-distinct-atm	Knowledge Base	KB
T1-W-115	campus-wiki/shop-updates/05-by-a-lot	Knowledge Base	KB
T1-W-032	campus-wiki/shop-updates/06	User Model	UM
T1-W-148	campus-wiki/shop-updates/06-24-hour-store	User Model	UM
T1-W-033	campus-wiki/shop-updates/07-same-type-replacement	Procedural Policy	PP
T1-W-116	campus-wiki/shop-updates/07-no-facility-conflation	Procedural Policy	PP
T1-W-034	campus-wiki/shop-updates/08-answer-location-hours	Self Model	SM
T1-W-149	campus-wiki/shop-updates/08-answer-hours	Self Model	SM
T1-W-117	campus-wiki/shop-updates/08-no-stock	Self Model	SM
T1-W-118	campus-wiki/shop-updates/08-no-payment-status	Self Model	SM
T1-W-119	campus-wiki/shop-updates/08-no-surprise-closure	Self Model	SM
T1-W-133	campus-wiki/shop-updates/09	Other Model	OM
T1-W-217	campus-wiki/shop-updates/10-engineering-store-goods	Knowledge Base	KB
T1-W-218	campus-wiki/shop-updates/11-return-policy	Knowledge Base	KB
T1-W-219	campus-wiki/shop-updates/12-store-pricing	Knowledge Base	KB
T1-W-220	campus-wiki/shop-updates/13-daily-menu	Knowledge Base	KB
T1-W-221	campus-wiki/shop-updates/14-allergen-labels	Knowledge Base	KB
T1-W-222	campus-wiki/shop-updates/15-no-cross-contact-guarantee	Self Model	SM
T1-W-223	campus-wiki/shop-updates/16-vegetarian-label	Knowledge Base	KB
T1-W-224	campus-wiki/shop-updates/17-bottle-filling	Knowledge Base	KB
T1-W-225	campus-wiki/shop-updates/18-cafe-seating	Knowledge Base	KB
T1-W-226	campus-wiki/shop-updates/19-student-centre-microwave	Knowledge Base	KB
T1-W-227	campus-wiki/shop-updates/20-floor-2-vending	Knowledge Base	KB
T1-W-228	campus-wiki/shop-updates/21-floor-5-vending	Knowledge Base	KB
T1-W-229	campus-wiki/shop-updates/22-atm-operators	Knowledge Base	KB
T1-W-230	campus-wiki/shop-updates/23-no-atm-transactions	Self Model	SM
T1-W-231	campus-wiki/shop-updates/24-atm-provider-support	Procedural Policy	PP
T1-W-232	campus-wiki/shop-updates/25-visitor-services-hours	Knowledge Base	KB
T1-W-233	campus-wiki/shop-updates/26-visitor-services-scope	Knowledge Base	KB
T1-W-234	campus-wiki/shop-updates/27-online-inquiry-form	Knowledge Base	KB
T1-W-235	campus-wiki/shop-updates/28-student-service-verification	Knowledge Base	KB
T1-W-236	campus-wiki/shop-updates/29-guest-network	Knowledge Base	KB
T1-W-237	campus-wiki/shop-updates/30-guest-network-instructions	Knowledge Base	KB
T1-W-238	campus-wiki/shop-updates/31-engineering-store-separate-route	Knowledge Base	KB
T1-W-239	campus-wiki/shop-updates/32-no-purchase-history	Self Model	SM
T1-W-240	campus-wiki/shop-updates/33-no-ingredient-guess	Procedural Policy	PP
T1-W-241	campus-wiki/shop-updates/34-holiday-hours-vary	World Model	WM
T1-W-242	campus-wiki/shop-updates/35-exam-hours	Procedural Policy	PP
T1-W-243	campus-wiki/shop-updates/36-store-operator-control	Knowledge Base	KB
T1-W-244	campus-wiki/shop-updates/37-student-waiting-use	User Model	UM
T1-W-245	campus-wiki/shop-updates/38-event-visitor-cafe	User Model	UM
T1-W-246	campus-wiki/shop-updates/39-reusable-return-bin	Knowledge Base	KB
T1-W-247	campus-wiki/shop-updates/40-accessible-dining-seating	Knowledge Base	KB
T1-W-248	campus-wiki/shop-updates/41-service-feedback	Procedural Policy	PP
T1-W-035	campus-wiki/facility-updates/01	User Model	UM
T1-W-036	campus-wiki/facility-updates/02	Knowledge Base	KB
T1-W-150	campus-wiki/facility-updates/02-counseling-room	Knowledge Base	KB
T1-W-151	campus-wiki/facility-updates/02-general-restroom	Knowledge Base	KB
T1-W-152	campus-wiki/facility-updates/02-accessible-restroom	Knowledge Base	KB
T1-W-037	campus-wiki/facility-updates/03	Knowledge Base	KB
T1-W-153	campus-wiki/facility-updates/03-library-corridor	Knowledge Base	KB
T1-W-154	campus-wiki/facility-updates/03-seminar-room	Knowledge Base	KB
T1-W-155	campus-wiki/facility-updates/03-general-restroom	Knowledge Base	KB
T1-W-156	campus-wiki/facility-updates/03-accessible-restroom	Knowledge Base	KB
T1-W-038	campus-wiki/facility-updates/04	Knowledge Base	KB
T1-W-157	campus-wiki/facility-updates/04-meeting-room	Knowledge Base	KB
T1-W-039	campus-wiki/facility-updates/05	Knowledge Base	KB
T1-W-158	campus-wiki/facility-updates/05-seminar-room	Knowledge Base	KB
T1-W-159	campus-wiki/facility-updates/05-seminar-class-use	Knowledge Base	KB
T1-W-040	campus-wiki/facility-updates/06	Knowledge Base	KB
T1-W-160	campus-wiki/facility-updates/06-seminar-room	Knowledge Base	KB
T1-W-161	campus-wiki/facility-updates/06-seminar-class-use	Knowledge Base	KB
T1-W-041	campus-wiki/facility-updates/07	Knowledge Base	KB
T1-W-162	campus-wiki/facility-updates/07-shared-workspace	Knowledge Base	KB
T1-W-042	campus-wiki/facility-updates/08	Knowledge Base	KB
T1-W-163	campus-wiki/facility-updates/08-small-meeting-room	Knowledge Base	KB
T1-W-043	campus-wiki/facility-updates/09	Knowledge Base	KB
T1-W-164	campus-wiki/facility-updates/09-event-support-room	Knowledge Base	KB
T1-W-044	campus-wiki/facility-updates/10	Knowledge Base	KB
T1-W-165	campus-wiki/facility-updates/10-event-prep-room	Knowledge Base	KB
T1-W-045	campus-wiki/facility-updates/11-check-public-notices	Procedural Policy	PP
T1-W-120	campus-wiki/facility-updates/11-no-private-inference	Procedural Policy	PP
T1-W-166	campus-wiki/facility-updates/11-no-inspection-inference	Procedural Policy	PP
T1-W-134	campus-wiki/facility-updates/12	Other Model	OM
T1-W-249	campus-wiki/facility-updates/13-floor-1-lobby	Knowledge Base	KB
T1-W-250	campus-wiki/facility-updates/14-floor-1-visitor-services	Knowledge Base	KB
T1-W-251	campus-wiki/facility-updates/15-floor-1-innovation-hub	Knowledge Base	KB
T1-W-252	campus-wiki/facility-updates/16-floor-1-restroom	Knowledge Base	KB
T1-W-253	campus-wiki/facility-updates/17-floor-1-accessible-restroom	Knowledge Base	KB
T1-W-254	campus-wiki/facility-updates/18-floor-2-elevator-lobby	Knowledge Base	KB
T1-W-255	campus-wiki/facility-updates/19-floor-3-elevator-lobby	Knowledge Base	KB
T1-W-256	campus-wiki/facility-updates/20-floor-4-directory	Knowledge Base	KB
T1-W-257	campus-wiki/facility-updates/21-floor-4-printing	Knowledge Base	KB
T1-W-258	campus-wiki/facility-updates/22-floor-5-restricted-labs	Knowledge Base	KB
T1-W-259	campus-wiki/facility-updates/23-floor-6-research-access	Knowledge Base	KB
T1-W-260	campus-wiki/facility-updates/24-floor-7-appointments	Knowledge Base	KB
T1-W-261	campus-wiki/facility-updates/25-floor-8-visitor-appointment	User Model	UM
T1-W-262	campus-wiki/facility-updates/26-floor-9-service-hours	Knowledge Base	KB
T1-W-263	campus-wiki/facility-updates/27-elevator-floor-range	Knowledge Base	KB
T1-W-264	campus-wiki/facility-updates/28-agent-floor-directory	Self Model	SM
T1-W-265	campus-wiki/facility-updates/29-no-live-room-occupancy	Self Model	SM
T1-W-266	campus-wiki/facility-updates/30-users-ask-department	User Model	UM
T1-W-267	campus-wiki/facility-updates/31-office-holiday-closure	World Model	WM
T1-W-268	campus-wiki/facility-updates/32-no-live-layout-verification	Self Model	SM
T1-W-046	campus-wiki/route-changes/01	Knowledge Base	KB
T1-W-047	campus-wiki/route-changes/02-a-lot-left	Knowledge Base	KB
T1-W-121	campus-wiki/route-changes/02-west-complex-left	Knowledge Base	KB
T1-W-122	campus-wiki/route-changes/02-humanities-right	Knowledge Base	KB
T1-W-123	campus-wiki/route-changes/02-student-centre-behind-library	Knowledge Base	KB
T1-W-048	campus-wiki/route-changes/03-short	Knowledge Base	KB
T1-W-124	campus-wiki/route-changes/03-long-indoor	Knowledge Base	KB
T1-W-049	campus-wiki/route-changes/04	Knowledge Base	KB
T1-W-050	campus-wiki/route-changes/05	User Model	UM
T1-W-051	campus-wiki/route-changes/06-confirm-open	Procedural Policy	PP
T1-W-125	campus-wiki/route-changes/06-distinguish-route-types	Procedural Policy	PP
T1-W-052	campus-wiki/route-changes/07-compare-stored-routes	Self Model	SM
T1-W-126	campus-wiki/route-changes/07-no-live-congestion	Self Model	SM
T1-W-127	campus-wiki/route-changes/07-no-movable-obstacles	Self Model	SM
T1-W-128	campus-wiki/route-changes/07-no-live-site-changes	Self Model	SM
T1-W-053	campus-wiki/route-changes/08-no-continuous-accessible-route	World Model	WM
T1-W-129	campus-wiki/route-changes/08-long-detour	World Model	WM
T1-W-135	campus-wiki/route-changes/09	Other Model	OM
T1-W-269	campus-wiki/route-changes/10-public-campus-map	Knowledge Base	KB
T1-W-270	campus-wiki/route-changes/11-map-accessible-routes	Knowledge Base	KB
T1-W-271	campus-wiki/route-changes/12-ramp-signage	Knowledge Base	KB
T1-W-272	campus-wiki/route-changes/13-c-lot-student-centre	Knowledge Base	KB
T1-W-273	campus-wiki/route-changes/14-student-centre-library	Knowledge Base	KB
T1-W-274	campus-wiki/route-changes/15-west-complex-main	Knowledge Base	KB
T1-W-275	campus-wiki/route-changes/16-humanities-main	Knowledge Base	KB
T1-W-276	campus-wiki/route-changes/17-lobby-to-floor-3	Knowledge Base	KB
T1-W-277	campus-wiki/route-changes/18-escalator-not-step-free	Knowledge Base	KB
T1-W-278	campus-wiki/route-changes/19-use-elevator-route	Procedural Policy	PP
T1-W-279	campus-wiki/route-changes/20-nearest-elevator	Knowledge Base	KB
T1-W-280	campus-wiki/route-changes/21-rest-bench	Knowledge Base	KB
T1-W-281	campus-wiki/route-changes/22-solbit-plaza	Knowledge Base	KB
T1-W-282	campus-wiki/route-changes/23-weather-travel-time	World Model	WM
T1-W-283	campus-wiki/route-changes/24-snow-clearing-priority	Other Model	OM
T1-W-284	campus-wiki/route-changes/25-a-lot-library-frequent-route	User Model	UM
T1-W-285	campus-wiki/route-changes/26-class-change-crowding	World Model	WM
T1-W-286	campus-wiki/route-changes/27-landmark-questions	User Model	UM
T1-W-287	campus-wiki/route-changes/28-elevation-confusion	User Model	UM
T1-W-288	campus-wiki/route-changes/29-delivery-route	Other Model	OM
T1-W-289	campus-wiki/route-changes/30-agent-detour-observation-limit	Self Model	SM
T1-W-290	campus-wiki/route-changes/31-agent-route-types	Self Model	SM
T1-W-291	campus-wiki/route-changes/32-no-live-footfall	Self Model	SM
T1-W-292	campus-wiki/route-changes/33-no-time-guarantee	Self Model	SM
T1-W-293	campus-wiki/route-changes/34-check-destination-notice	Procedural Policy	PP
T1-W-294	campus-wiki/route-changes/35-no-staff-only-route	Procedural Policy	PP
