source_id	source_memory_location	target_location	target_memory	operation	update_detail	before_text	after_text
T1-U-083	construction-updates/temporary-parking/08-c-lot-open	campus-wiki/temporary-parking	T1-W-187	Modify	Change Outdoor Parking Lot C to the temporary alternative parking area for vehicles visiting the Main Building.	Outdoor Parking Lot C accepts visitor vehicles during posted operating hours.	During the construction period, Outdoor Parking Lot C operates as a temporary alternative parking lot for vehicles visiting the Main Building.
T1-U-084	construction-updates/temporary-parking/08-a-lot-reopen	campus-wiki/temporary-parking	New Memory	Add	Add the construction update to campus-wiki/temporary-parking as an independent Memory.	∅	Outdoor Parking Lot A is planned to reopen immediately after construction on the Main Building ends.
T1-U-019	construction-updates/temporary-parking/09	campus-wiki/temporary-parking	T1-W-018	Modify	Change the sloped access road connecting Outdoor Parking Lot A and the underground parking garage to blocked during the construction period.	Outdoor Parking Lot A to the left of the Main Building is connected to the Main Building underground parking garage by an inclined access road.	During the construction period, the sloped access road connecting Outdoor Parking Lot A and the Main Building underground parking garage is blocked.
T1-U-054	construction-updates/temporary-parking/10-explain-parking	campus-wiki/temporary-parking	T1-W-026	Modify	Clarify the parking guidance agent's explanatory capability with closure and alternative-parking information for the construction period.	The parking information agent can explain posted open statuses.	Based on posted information, the parking guidance agent may explain the closures of the underground parking garage and Outdoor Parking Lot A and the alternative use of Outdoor Parking Lot C during the construction period.
T1-U-085	construction-updates/temporary-parking/10-no-live-spaces	campus-wiki/temporary-parking	T1-W-112	Modify	Clarify the inability to check real-time parking availability together with the ability to provide guidance about Outdoor Parking Lot C.	The parking information agent cannot check real-time space availability.	During the construction period, the parking guidance agent may explain the location of Outdoor Parking Lot C but cannot check or guarantee available spaces at the time of an inquiry.
T1-U-055	construction-updates/temporary-parking/11-parking-needs	campus-wiki/temporary-parking	T1-W-025	Modify	Change visitors' general parking expectation to an expectation that familiar parking areas will be open and renewed search behavior after encountering a closed access road.	First-time visiting drivers often expect there to be general parking spaces in the parking lot closest to the Main Building.	A visitor accustomed to parking at the Main Building may expect to be able to enter the underground parking garage or Outdoor Parking Lot A during the construction period, drive as far as the closed access road, and then search again for Outdoor Parking Lot C.
T1-U-064	construction-updates/temporary-parking/om-delivery-crews	campus-wiki/temporary-parking	T1-W-132	Modify	Change delivery and maintenance contractors' normal unloading expectation to behavior that reconfirms delivery conditions at a controlled point during the construction period.	Delivery drivers and external maintenance providers sometimes expect to be able to load and unload briefly at the edge of Outdoor Parking Lot A.	Delivery drivers and external maintenance contractors accustomed to unloading in Outdoor Parking Lot A may approach the same point during the construction period and then reconfirm the delivery time or unloading location at the control line.
T1-U-020	construction-updates/shop-updates/01-atm-closed	campus-wiki/shop-updates	New Memory	Add	Add the construction update to campus-wiki/shop-updates as an independent Memory.	∅	The ATM on the first floor of the Main Building is closed during the construction period.
T1-U-088	construction-updates/shop-updates/01-store-closed	campus-wiki/shop-updates	New Memory	Add	Add the construction update to campus-wiki/shop-updates as an independent Memory.	∅	The 24-hour unattended store on the first floor of the Main Building is closed during the construction period.
T1-U-021	construction-updates/shop-updates/02-atm-alternative	campus-wiki/shop-updates	New Memory	Add	Add the construction update to campus-wiki/shop-updates as an independent Memory.	∅	During the construction period, direct users of the Main Building ATM to the ATM on the first floor of the West Complex.
T1-U-089	construction-updates/shop-updates/02-store-alternative	campus-wiki/shop-updates	New Memory	Add	Add the construction update to campus-wiki/shop-updates as an independent Memory.	∅	During the construction period, direct users of the Main Building's 24-hour store to the Campus Store in the Engineering Building between 7:00 a.m. and 11:00 p.m.
T1-U-090	construction-updates/shop-updates/02-after-hours-limit	campus-wiki/shop-updates	New Memory	Add	Add the construction update to campus-wiki/shop-updates as an independent Memory.	∅	Explain that after 11:00 p.m. there is no alternative on-campus store to replace the 24-hour unattended store in the Main Building.
T1-U-022	construction-updates/shop-updates/03-main-store	campus-wiki/shop-updates	T1-W-027	Modify	Change the first-floor Campus Store in the Main Building to closed during the construction period.	The Campus Store on the first floor of the Main Building operates from 7:00 a.m. to 11:00 p.m. even during recess.	The Campus Store on the first floor of the Main Building is closed during the construction period.
T1-U-092	construction-updates/shop-updates/03-engineering-hours	campus-wiki/shop-updates	T1-W-028	Modify	Extend the Engineering Building Campus Store's hours to 7:00 a.m.–11:00 p.m. during the construction period.	The Engineering Building Campus Store's usual operating hours during recess are from 9:00 a.m. to 6:00 p.m.	During the construction period, the Campus Store in the Engineering Building operates from 7:00 a.m. to 11:00 p.m.
T1-U-023	construction-updates/shop-updates/04-cafe	campus-wiki/shop-updates	New Memory	Add	Add the construction update to campus-wiki/shop-updates as an independent Memory.	∅	The cafe on the first floor of the Main Building does not operate during the construction period.
T1-U-025	construction-updates/shop-updates/06	campus-wiki/shop-updates	New Memory	Add	Add the construction update to campus-wiki/shop-updates as an independent Memory.	∅	During the cafe closure, instruct only staff to use the coffee machine inside the first-floor Innovation Hub.
T1-U-026	construction-updates/shop-updates/07	campus-wiki/shop-updates	T1-W-032	Modify	Change students' normal expectation of ATM access to behavior that searches again for an alternative ATM after encountering the closure during the construction period.	Students who need cash in the evening often expect that they can use the Main Building ATM at any time.	A student who used the Main Building ATM in the evening may expect to be able to withdraw cash at the same location during the construction period, come to the Main Building, and then have to find the West Complex ATM.
T1-U-056	construction-updates/shop-updates/08-answer-amenities	campus-wiki/shop-updates	T1-W-034	Modify	Clarify the amenities guidance agent's location-explanation capability as the scope for recommending alternative facilities during the construction period.	The amenities information agent can answer with posted locations.	During the construction period, the amenities guidance agent may exclude the closed Main Building ATM, unattended store, Campus Store, and cafe from recommendations and provide guidance only to posted alternative facilities.
T1-U-057	construction-updates/shop-updates/09-west-atm-route	campus-wiki/shop-updates	New Memory	Add	Add to campus-wiki/shop-updates the ATM access route changed by construction.	∅	During the construction period, the route for ATM use changes from the first floor of the Main Building to the first floor of the West Complex without passing through the Main Building construction zone.
T1-U-065	construction-updates/shop-updates/om-store-concessionaire-demand	campus-wiki/shop-updates	T1-W-133	Modify	Change the Campus Store concessionaire's observation of normal student demand to the Engineering Building store concessionaire's anticipated construction-period demand and operational adjustments.	The Campus Store contractor incorporates students' tendency to use the Main Building ATM and the 24-hour store together in the evening into demand planning.	The concessionaire operating the Campus Store in the Engineering Building may expect more alternative users because of the closure of Main Building facilities and seek to increase evening staffing and inventory above normal levels during the construction period.
T1-U-027	construction-updates/facility-updates/01	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	The Main Building undergoes major facility improvement construction during summer break.
T1-U-028	construction-updates/facility-updates/02	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	During the construction period, the elevators operate alternately, one at a time.
T1-U-029	construction-updates/facility-updates/03-in-person-closed	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	The visitor services desk suspends in-person operations during the construction period.
T1-U-099	construction-updates/facility-updates/03-portal-replacement	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	During the construction period, visitor services are replaced by the visitor menu in the integrated campus portal.
T1-U-030	construction-updates/facility-updates/04-floor-1	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	The general restroom on the first floor of the Main Building cannot be used during the construction period.
T1-U-100	construction-updates/facility-updates/04-floor-2	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	The general restroom on the second floor of the Main Building cannot be used during the construction period.
T1-U-101	construction-updates/facility-updates/04-floor-3	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	The general restroom on the third floor of the Main Building cannot be used during the construction period.
T1-U-031	construction-updates/facility-updates/05	campus-wiki/facility-updates	New Memory	Add	Add to campus-wiki/facility-updates the nearest-alternative relationship changed by restroom closures.	∅	Because the general restrooms on the first through third floors of the Main Building are closed during the construction period, the nearest general restroom changes to the exhibition hall on the third floor of the West Complex.
T1-U-032	construction-updates/facility-updates/06-eligible-users	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	During the construction period, direct students, staff, and members who cannot use the Main Building restrooms to the Central Library restrooms.
T1-U-102	construction-updates/facility-updates/06-visitors	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	As a rule, direct general visitors who cannot use the Main Building restrooms during the construction period to restrooms outside the Main Building.
T1-U-033	construction-updates/facility-updates/07	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	During the construction period, direct users who cannot use the accessible restroom in the Main Building to the Student Centre.
T1-U-104	construction-updates/facility-updates/08-consultation-closed	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	The first-floor Innovation Hub does not operate its consultation desk during the construction period.
T1-U-035	construction-updates/facility-updates/09	campus-wiki/facility-updates	New Memory	Add	Add to campus-wiki/facility-updates the expectation of in-person consultation and renewed search behavior for a consultation route when the shift online is missed.	∅	An Innovation Hub visitor accustomed to in-person consultation may expect to receive an immediate consultation at the first-floor desk during the construction period, see that the desk is closed, and then search again for the online consultation channel.
T1-U-037	construction-updates/facility-updates/11	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	Air conditioning is occasionally interrupted for five to ten minutes for facility inspections.
T1-U-038	construction-updates/facility-updates/12	campus-wiki/facility-updates	New Memory	Add	Add the construction update to campus-wiki/facility-updates as an independent Memory.	∅	The construction period runs from June 24 through August 23.
T1-U-106	construction-updates/facility-updates/14-no-private-scope	campus-wiki/facility-updates	New Memory	Add	Add to campus-wiki/facility-updates the boundary between the scope of public answers and nonpublic work details during the construction period.	∅	During the construction period, the facility guidance agent's response scope is limited to publicly disclosed operational impacts and it cannot verify or infer nonpublic types of work.
T1-U-066	construction-updates/facility-updates/om-service-contractors	campus-wiki/facility-updates	T1-W-134	Modify	Change contract service workers' preference for a separate route to the burden of a new service entrance during the construction period and the possibility of initial confusion.	Cleaning and security contractor staff prefer service routes separated from general users during shift changes.	Cleaning and security contract staff may find the designated service entrance during the construction period more burdensome than the familiar lobby shift change and may go to the wrong entrance at the start of a shift.
T1-U-040	construction-updates/route-changes/01	campus-wiki/route-changes	New Memory	Add	Add the construction update to campus-wiki/route-changes as an independent Memory.	∅	The indoor route that passed through the first through third floors of the Main Building to the Central Library cannot be used during the construction period.
T1-U-041	construction-updates/route-changes/02	campus-wiki/route-changes	New Memory	Add	Add the construction update to campus-wiki/route-changes as an independent Memory.	∅	The route from the third-floor rear entrance to the Central Library is closed during the construction period.
T1-U-042	construction-updates/route-changes/03	campus-wiki/route-changes	New Memory	Add	Add the construction update to campus-wiki/route-changes as an independent Memory.	∅	The Outdoor Parking Lot A–Main Building–Central Library route is closed during the construction period.
T1-U-043	construction-updates/route-changes/04	campus-wiki/route-changes	T1-W-050	Modify	Change students' preference for an air-conditioned indoor route to the anticipated heat and burden of the outdoor alternative route during the construction period.	In summer, students prefer the air-conditioned indoor route from the first to the third floor of the Main Building over the outdoor route.	A student who prefers the air-conditioned indoor route through the Main Building in summer may experience substantial heat and travel burden when redirected to an outdoor alternative route during the construction period.
T1-U-045	construction-updates/route-changes/06	campus-wiki/route-changes	New Memory	Add	Add the construction update to campus-wiki/route-changes as an independent Memory.	∅	When providing directions to the accessible restroom in the Student Centre during the construction period, instruct users to take the accessible route to the left as viewed from the Main Building.
T1-U-047	construction-updates/route-changes/08	campus-wiki/route-changes	New Memory	Add	Add to campus-wiki/route-changes the designation of an official construction-period alternative to the existing route.	∅	During the construction period, the designated alternative accessible route to the Central Library is Outdoor Parking Lot C–Student Centre accessible entrance–Central Library west entrance.
T1-U-059	construction-updates/route-changes/09	campus-wiki/route-changes	New Memory	Add	Add to campus-wiki/route-changes the Central Library west entrance's official alternative role during the construction period.	∅	During the construction period, the Central Library west entrance is designated as the official alternative entrance for the closed connecting route through the Main Building.
T1-U-060	construction-updates/route-changes/10-guide-routes	campus-wiki/route-changes	T1-W-052	Modify	Exclude routes closed during the construction period from the route guidance agent's route-comparison capability.	The route guidance agent can compare routes using stored geographic information.	During the construction period, the route guidance agent may exclude from comparison candidates closed routes that pass through the first through third floors of the Main Building, the third-floor rear entrance, or Outdoor Parking Lot A.
T1-U-067	construction-updates/route-changes/om-mobility-support-companion	campus-wiki/route-changes	T1-W-135	Modify	Change mobility support companions' normal preference for an indoor route to behavior that reconfirms in advance the distance and slope of the alternative accessible route during the construction period.	Mobility support companions prefer the indoor route through the Main Building to the Central Library because it is less affected by weather.	If the indoor shortcut through the Main Building is closed during the construction period, a mobility-support companion may reconfirm the distance and slope of the alternative accessible route before accompanying the user.
